ParentID,ParentSMILES,FragmentSMILES,MetaText
Acalabrutinib,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,[1*]C([6*])=O,<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
Acalabrutinib,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,[5*]N[5*],<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
Acalabrutinib,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,[14*]c1ccccn1,<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Mantle Cell Lymphoma (MCL); Small Lymphocytic Lymphoma> <TARGET=EPHB3; FGR; EPHA8; EPHX2; EEGV1; EN1; ENO2; EFNA1; EPS15; DXO; ERBB4; TP53; CYP3A4; BTK; TEC; EFNB2; MS4A2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[8*]CC,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[1*]C(=O)C1c2cc3c(c(O)c2C(O[3*])CC1([15*])O)C(=O)c1c(O)cccc1C3=O,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[13*]C1CC([15*])C([15*])C(C)O1,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[5*]N(C)C,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[3*]O[3*],<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[13*]C1CC(O)C([15*])C(C)O1,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[3*]O[3*],<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[13*]C1CCC(=O)C(C)O1,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Aclarubicin,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,[3*]OC,<INDICATION=nan> <TARGET=TOP2A; SMN1; CSF2>
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[1*]C(=O)C(=C)F,"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[5*]N1CCN([5*])C([13*])C1,"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[5*]N1CCc2c([14*])nc([14*])nc2C1,"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[3*]O[3*],"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[4*]C[8*],"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[13*]C1CCCN1C,"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[16*]c1cccc2cccc(Cl)c12,"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Adagrasib,C=C(F)C(=O)N1CCN(c2nc(OCC3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)CC1CC#N,[8*]CC#N,"<INDICATION=Locally Advanced Non-Small Cell Lung Cancer, Metastatic Non-Small Cell Lung Cancer> <TARGET=KRAS; GPM6B>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[5*]N(C)C,"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[4*]CC=[7*],"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[1*]C(=O)C=[7*],"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[5*]N[5*],"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[14*]c1ncnc2cc([16*])c([16*])cc12,"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[5*]N[5*],"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[16*]c1ccc(F)c(Cl)c1,"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[3*]O[3*],"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Afatinib,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1,[15*]C1CCOC1,"<INDICATION=Metastatic Non-Small Cell Lung Cancer; Refractory, metastatic squamous cell Non-small cell lung cancer> <TARGET=NRG1; BRAF; EGFR; ERBB2; PTEN; ROS1; ERBB3; ALK; NUP62; KEAP1; DVL2; EN1; PIK3CA; ARF1; KRAS; EML4; ERBB4; UHRF1; DXO>"
Alectinib,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,[8*]CC,"<INDICATION=Refractory, metastatic Non small cell lung cancer> <TARGET=RET; ALK; ROS1; EML4; TP53; CYP3A4; IDH2; HBEGF; DRD4; BRAF>"
Alectinib,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,[16*]c1cc2c(cc1[16*])C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,"<INDICATION=Refractory, metastatic Non small cell lung cancer> <TARGET=RET; ALK; ROS1; EML4; TP53; CYP3A4; IDH2; HBEGF; DRD4; BRAF>"
Alectinib,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,[5*]N1CCC([15*])CC1,"<INDICATION=Refractory, metastatic Non small cell lung cancer> <TARGET=RET; ALK; ROS1; EML4; TP53; CYP3A4; IDH2; HBEGF; DRD4; BRAF>"
Alectinib,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,[5*]N1CCOCC1,"<INDICATION=Refractory, metastatic Non small cell lung cancer> <TARGET=RET; ALK; ROS1; EML4; TP53; CYP3A4; IDH2; HBEGF; DRD4; BRAF>"
Alitretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,[7*]=CC(=[7*])C,<INDICATION=AIDS-related Kaposi's Sarcoma> <TARGET=RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR>
Alitretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,[7*]=CC1=C(C)CCCC1(C)C,<INDICATION=AIDS-related Kaposi's Sarcoma> <TARGET=RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR>
Alitretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,[7*]=CC=[7*],<INDICATION=AIDS-related Kaposi's Sarcoma> <TARGET=RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR>
Alitretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,[7*]=CC(=[7*])C,<INDICATION=AIDS-related Kaposi's Sarcoma> <TARGET=RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR>
Alitretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,[7*]=CC(=O)O,<INDICATION=AIDS-related Kaposi's Sarcoma> <TARGET=RARB; RXRA; RARG; SFTPA1; RXRG; HCN2; RARA; RXRB; ERBB2; BCHE; EHMT2; BCHEL3; GCK; CGA; SERPINE1; CCR2; CD34; BCHEL1; P2RY2; CETP; VDR>
Alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,[14*]c1nc(C)c([14*])s1,<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,[5*]N[5*],<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,[1*]C([1*])=O,<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,[5*]N1CCCC1[13*],<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,[6*]C(N)=O,<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,[14*]c1cc([16*])ccn1,<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Alpelisib,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,[8*]C(C)(C)C(F)(F)F,<INDICATION=Advanced Metastatic Breast Cancer> <TARGET=F5; PIK3CB; PIK3CG; BRAF; SGK1; CDK4; PIK3CA; PIK3CD; PIK3R2; PIK3C2A; ERBB2; ESR1; FGFR2; PIK3R1; PI4KA; PIK3R4; F7R; MAP2K1; ESR2; PTEN; FGFR3; PIK3C2B; TP53; PIK3R5; PIK3R6; PIK3R3; FGFR1; PIK3C2G; F7; NRAS; MTOR; ARID1A; PIK3C3; RB1; HRAS>
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,[5*]N(C)C,<INDICATION=Ovarian Cancer; Ovarian Cancer Stage III> <TARGET=CYP1A2>
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,[14*]c1nc([14*])nc([14*])n1,<INDICATION=Ovarian Cancer; Ovarian Cancer Stage III> <TARGET=CYP1A2>
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,[5*]N(C)C,<INDICATION=Ovarian Cancer; Ovarian Cancer Stage III> <TARGET=CYP1A2>
Altretamine,CN(C)c1nc(N(C)C)nc(N(C)C)n1,[5*]N(C)C,<INDICATION=Ovarian Cancer; Ovarian Cancer Stage III> <TARGET=CYP1A2>
Aminolevulinic Acid,NCC(=O)CCC(=O)O,NCC(=O)CCC(=O)O,<INDICATION=Basal Cell Carcinoma (BCC); Squamous Cell Carcinoma (SCC)> <TARGET=BCL2>
Amrubicin,CC(=O)C1(N)Cc2c(O)c3c(c(O)c2C(OC2CC(O)C(O)CO2)C1)C(=O)c1ccccc1C3=O,[6*]C(C)=O,<INDICATION=nan> <TARGET=TOP2A>
Amrubicin,CC(=O)C1(N)Cc2c(O)c3c(c(O)c2C(OC2CC(O)C(O)CO2)C1)C(=O)c1ccccc1C3=O,[3*]OC1CC([15*])(N)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O,<INDICATION=nan> <TARGET=TOP2A>
Amrubicin,CC(=O)C1(N)Cc2c(O)c3c(c(O)c2C(OC2CC(O)C(O)CO2)C1)C(=O)c1ccccc1C3=O,[13*]C1CC(O)C(O)CO1,<INDICATION=nan> <TARGET=TOP2A>
Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,[3*]OC,"<INDICATION=Leukemia, Acute; Refractory Leukemia> <TARGET=TOP2A; CYP2C9; TOP2B; CBX1; CYP3A4; EHMT2; ATXN2; CYP2C19; HSD17B10; MTOR; CYP2D6; ATAD5; BTF3P11; DRD1; CYP1A2>"
Amsacrine,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,[16*]c1ccc([16*])c([16*])c1,"<INDICATION=Leukemia, Acute; Refractory Leukemia> <TARGET=TOP2A; CYP2C9; TOP2B; CBX1; CYP3A4; EHMT2; ATXN2; CYP2C19; HSD17B10; MTOR; CYP2D6; ATAD5; BTF3P11; DRD1; CYP1A2>"
