Product,EMA,FDA,EN,Other,WHO,Year,Generic,DrugBank ID,ATC,ChEMBL,Indications,Targets,Last Update,SMILES,MolWeight,LogP,NumHDonors,NumHAcceptors,SMILES_cleaned,MetaText
Aminolevulinic Acid,Y,Y,N,,N,1999.0,N,DB00855,L01XD04,CHEMBL601,Basal Cell Carcinoma (BCC); Squamous Cell Carcinoma (SCC),BCL2,2024-02-07,C(CC(=O)O)C(=O)CN,131.13099999999997,-0.621,2,3,NCC(=O)CCC(=O)O,<INDICATION=Basal Cell Carcinoma (BCC); Squamous Cell Carcinoma (SCC)> <TARGET=BCL2>
Amrubicin,N,N,N,Japan,N,2002.0,,DB06263,L01DB10,CHEMBL1186894,,TOP2A,2024-02-07,CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,483.47300000000024,0.6317999999999998,5,10,CC(=O)C1(N)Cc2c(O)c3c(c(O)c2C(OC2CC(O)C(O)CO2)C1)C(=O)c1ccccc1C3=O,<INDICATION=nan> <TARGET=TOP2A>
Amsacrine,N,N,N,,N,1987.0,N,DB00276,L01XX01,CHEMBL43,"Leukemia, Acute; Refractory Leukemia",TOP2A; CYP2C9; TOP2B; CBX1; CYP3A4; EHMT2; ATXN2; CYP2C19; HSD17B10; MTOR; CYP2D6; ATAD5; BTF3P11; DRD1; CYP1A2,2024-07-24,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,393.4680000000001,4.511700000000003,2,5,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,"<INDICATION=Leukemia, Acute; Refractory Leukemia> <TARGET=TOP2A; CYP2C9; TOP2B; CBX1; CYP3A4; EHMT2; ATXN2; CYP2C19; HSD17B10; MTOR; CYP2D6; ATAD5; BTF3P11; DRD1; CYP1A2>"
Anastrozole,N,Y,Y,,Y,1995.0,Y,DB01217,L02BG03,CHEMBL1399,"Advanced Breast Cancer; Early Breast Cancer; Locally Advanced Breast Cancer (LABC); Metastatic Breast Cancer; Invasive, early Breast Cancer",ESR1; IGF2; PGR; CYP19A1; TUBB1; DLG2; MAP4K4; CLDN11; CSMD1; ERBB2; ZNF613; CYP1B1; CPD,2024-07-24,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,293.374,2.928760000000002,0,5,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,"<INDICATION=Advanced Breast Cancer; Early Breast Cancer; Locally Advanced Breast Cancer (LABC); Metastatic Breast Cancer; Invasive, early Breast Cancer> <TARGET=ESR1; IGF2; PGR; CYP19A1; TUBB1; DLG2; MAP4K4; CLDN11; CSMD1; ERBB2; ZNF613; CYP1B1; CPD>"
Apalutamide,Y,Y,N,,N,2018.0,N,DB11901,L02BB05,CHEMBL3183409,Nonmetastatic Prostate Cancer,AR; BEVI,2024-07-24,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F,477.4430000000002,3.5315800000000026,1,5,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,<INDICATION=Nonmetastatic Prostate Cancer> <TARGET=AR; BEVI>
Arsenic Trioxide,Y,Y,N,,Y,2018.0,Y,DB01169,L01XX27,CHEMBL1200978,Refractory Acute Promyelocytic Leukemia,RARA; SMO; IL6; BIRC5; BDNF; CCND1; TXNRD1; FGFR1; MYCN; SERPINE1; IKBKB; HSPA4; PML; JUN; FLT3; MAPK3; EPO; TERT; FAS; GSTO1; CDKN1A; DNMT1; MT1A; MAPK10; TXNRD2; MAPK1,2024-07-25,[O-2].[O-2].[O-2].[As+3].[As+3],197.841,-1.118,0,0,[As+3].[As+3].[O-2].[O-2].[O-2],<INDICATION=Refractory Acute Promyelocytic Leukemia> <TARGET=RARA; SMO; IL6; BIRC5; BDNF; CCND1; TXNRD1; FGFR1; MYCN; SERPINE1; IKBKB; HSPA4; PML; JUN; FLT3; MAPK3; EPO; TERT; FAS; GSTO1; CDKN1A; DNMT1; MT1A; MAPK10; TXNRD2; MAPK1>
Asciminib,Y,Y,N,,N,2021.0,N,DB12597,L01EA06,CHEMBL4208229,Philadelphia chromosome-positive chronic myeloid leukemia in chronic phase,ABL1; BCR,2024-07-24,C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,449.845,3.462900000000001,3,6,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCC(O)C2)c(-c2ccn[nH]2)c1,<INDICATION=Philadelphia chromosome-positive chronic myeloid leukemia in chronic phase> <TARGET=ABL1; BCR>
Avapritinib,Y,Y,N,,N,2020.0,N,DB15233,L01EX18,CHEMBL4204794,Metastatic Gastrointestinal Stromal Tumor; Unresectable Gastrointestinal stromal tumor,KIT; PDGFRA; FLT3; DPT; CBL,2024-07-24,CC(C1=CC=C(C=C1)F)(C2=CN=C(N=C2)N3CCN(CC3)C4=NC=NN5C4=CC(=C5)C6=CN(N=C6)C)N,498.5700000000003,2.6077000000000004,1,10,Cn1cc(-c2cc3c(N4CCN(c5ncc(C(C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,<INDICATION=Metastatic Gastrointestinal Stromal Tumor; Unresectable Gastrointestinal stromal tumor> <TARGET=KIT; PDGFRA; FLT3; DPT; CBL>
Axitinib,Y,Y,N,,N,2012.0,N,DB06626,L01EK01,CHEMBL1289926,Advanced Thyroid cancer,KDR; ABCG2; YES1; FLT1; UGT1A9; UGT1A10; DRD2; PDGFRB; PDGFRA; TP53; VHL; ABL1; FABP5; KIT; CD274; PDGFB; HIF1A; UGT1A7; UGT1A8; BRAF; OR2B11; FLT4,2024-07-24,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,386.48,4.6391000000000036,2,4,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,<INDICATION=Advanced Thyroid cancer> <TARGET=KDR; ABCG2; YES1; FLT1; UGT1A9; UGT1A10; DRD2; PDGFRB; PDGFRA; TP53; VHL; ABL1; FABP5; KIT; CD274; PDGFB; HIF1A; UGT1A7; UGT1A8; BRAF; OR2B11; FLT4>
Azacitidine,Y,Y,N,,N,2004.0,Y,DB00928,L01BC07,CHEMBL1489,Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia,NRAS; DNMT1; TG; MTHFR; ALDH1A1; GMNN; NFE2L2; IDH1; SMAD3; XRCC1; KRAS; TAGLN; FLT3; ATAD5; AFP; GGT1; MYC; ABL1; CDA; MGMT; TP53; AR; IDH2; NR3C1; THPO; LIF; HTT; PLAU; PTPN11; DNMT3A; TYMS; CBL; HBB; GSTP1; CD247; RORC; TRIT1; GATA2; TET2; IL11,2024-07-25,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,244.207,-3.167999999999999,4,9,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,<INDICATION=Acute Myeloid Leukemia (AML); Chronic Myelomonocytic Leukemia> <TARGET=NRAS; DNMT1; TG; MTHFR; ALDH1A1; GMNN; NFE2L2; IDH1; SMAD3; XRCC1; KRAS; TAGLN; FLT3; ATAD5; AFP; GGT1; MYC; ABL1; CDA; MGMT; TP53; AR; IDH2; NR3C1; THPO; LIF; HTT; PLAU; PTPN11; DNMT3A; TYMS; CBL; HBB; GSTP1; CD247; RORC; TRIT1; GATA2; TET2; IL11>
Belinostat,N,Y,N,,N,2014.0,N,DB05015,L01XH04,CHEMBL408513,Relapsed Peripheral T-Cell Lymphoma; Refractory Peripheral T-cell Lymphoma Unspecified,UGT1A1; HDAC3; HDAC9; HDAC6; HDAC5; HDAC10; HDAC1; FBXW7; HDAC7; GARS1; KMT2A; GAPDHP1; HDAC11; GART; MSTN; GAS1; GDF9; GAS2; GDF2; HDAC4; HDAC8; HDAC2,2024-07-24,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,318.35400000000004,2.006,3,4,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,<INDICATION=Relapsed Peripheral T-Cell Lymphoma; Refractory Peripheral T-cell Lymphoma Unspecified> <TARGET=UGT1A1; HDAC3; HDAC9; HDAC6; HDAC5; HDAC10; HDAC1; FBXW7; HDAC7; GARS1; KMT2A; GAPDHP1; HDAC11; GART; MSTN; GAS1; GDF9; GAS2; GDF2; HDAC4; HDAC8; HDAC2>
Belotecan,N,N,N,South Korea,N,2003.0,,DB12459,L01CE04,CHEMBL2111084,,TOP1,2024-02-07,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)CCNC(C)C)O,433.50800000000015,2.620100000000001,2,7,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CCNC(C)C,<INDICATION=nan> <TARGET=TOP1>
Belzutifan,N,Y,N,,N,2023.0,N,DB15463,L01XX74,CHEMBL4585668,Advanced Renal Cell Carcinoma,HMGB2,2024-07-24,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,383.347,3.288880000000002,1,5,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1C(O)C(F)C2F,<INDICATION=Advanced Renal Cell Carcinoma> <TARGET=HMGB2>
Bendamustine,N,Y,Y,,Y,2008.0,Y,DB06769,L01AA09,CHEMBL487253,Chronic Lymphocytic Leukaemia (CLL); Follicular Non-Hodgkin's Lymphoma Refractory; Refractory Hodgkin Lymphoma; Refractory Mantle Cell Lymphoma; Waldenstrom's Macroglobulinemia (WM); Recurrent multiple myeloma; Refractory indolent B cell non-hodgkin lymphoma,ATM; TP53; CD69,2024-07-24,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,358.2690000000001,3.2646000000000015,1,4,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,<INDICATION=Chronic Lymphocytic Leukaemia (CLL); Follicular Non-Hodgkin's Lymphoma Refractory; Refractory Hodgkin Lymphoma; Refractory Mantle Cell Lymphoma; Waldenstrom's Macroglobulinemia (WM); Recurrent multiple myeloma; Refractory indolent B cell non-hodgkin lymphoma> <TARGET=ATM; TP53; CD69>
Bexarotene,Y,Y,N,,N,1999.0,Y,DB00307,L01XF03,CHEMBL1023,Refractory peripheral cutaneous T-cell lymphoma,NR1I2; OPN1SW; RXRB; RXRG; USP1; HCN2; NR1H3; RXRA; MAPK8; KAT2A; BLM; CCND1,2024-07-24,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,348.4860000000002,6.103720000000006,1,1,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,<INDICATION=Refractory peripheral cutaneous T-cell lymphoma> <TARGET=NR1I2; OPN1SW; RXRB; RXRG; USP1; HCN2; NR1H3; RXRA; MAPK8; KAT2A; BLM; CCND1>
Bicalutamide,N,Y,Y,,Y,1995.0,Y,DB01128,L02BB03,CHEMBL409,Stage D2 Prostatic carcinoma,CYP2B6; CFLAR; AR; BAX; VDR; KLK3; CDH1; KMT2D; FST; BEVI,2024-07-25,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,430.3790000000001,2.879580000000002,2,5,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,<INDICATION=Stage D2 Prostatic carcinoma> <TARGET=CYP2B6; CFLAR; AR; BAX; VDR; KLK3; CDH1; KMT2D; FST; BEVI>
Binimetinib,Y,Y,N,,N,2018.0,N,DB11967,L01EE03,CHEMBL3187723,Metastatic Melanoma; Unresectable Melanoma,BRAF; APC; MAP2K1; ATM; HRAS; NRAS; MAP2K7; UGT1A1; NF1; PTEN; PIK3CA; MAP2K3; KRAS; KIT; MAP2K4; NR2F6; JAK2; MAP2K2; MAP2K6; MAP2K5,2024-07-24,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,441.23200000000014,3.0113,3,6,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,<INDICATION=Metastatic Melanoma; Unresectable Melanoma> <TARGET=BRAF; APC; MAP2K1; ATM; HRAS; NRAS; MAP2K7; UGT1A1; NF1; PTEN; PIK3CA; MAP2K3; KRAS; KIT; MAP2K4; NR2F6; JAK2; MAP2K2; MAP2K6; MAP2K5>
Bleomycin,N,Y,Y,,Y,1973.0,Y,DB00290,L01DC01,CHEMBL403664,"Cervical Cancers; Head and Neck Carcinoma; Intracranial Germ Cell Tumors; Lymphoma, Hodgkins; Malignant Pleural Effusions; Non-Hodgkin's Lymphoma (NHL); Ovarian Cancer; Penile Cancer; Testicular Cancer; Vulvar Cancers; Early Kaposi's sarcoma",CCL17; IFNG; NFE2L2; SMAD2; WRN; LIG1; BLMH; F2R; MAPK8; ADK; GSTM1; PLAU; GJA1; CTLA4; BRCA1; AFP,2024-07-24,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1415.5760000000005,-7.703580000000028,20,31,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,"<INDICATION=Cervical Cancers; Head and Neck Carcinoma; Intracranial Germ Cell Tumors; Lymphoma, Hodgkins; Malignant Pleural Effusions; Non-Hodgkin's Lymphoma (NHL); Ovarian Cancer; Penile Cancer; Testicular Cancer; Vulvar Cancers; Early Kaposi's sarcoma> <TARGET=CCL17; IFNG; NFE2L2; SMAD2; WRN; LIG1; BLMH; F2R; MAPK8; ADK; GSTM1; PLAU; GJA1; CTLA4; BRCA1; AFP>"
Bortezomib,Y,Y,N,,Y,2003.0,Y,DB00188,L01XG01,CHEMBL325041,Mantle Cell Lymphoma (MCL); Multiple Myeloma (MM),PSMB11; PSMB4; PSMB10; PSMC3; HSPB2; AR; BDNF; PSMC2; PSMA7; PSMD4; PSMD2; PSMD7; PSMA4; B2M; PSME2; PSMB1; PSMC5; PSMD12; PSMA6; PSMB5; PSMA2; HSPA4; PSMD1; PMAIP1; PIK3CA; PSMB2; PSME1; BCL2L2; PSMD9; PSMD14; PSMA5; PSMC1P1; PSMB6; PSMA1; ADRM1; PSME4; PSMC6; PSMD11; PLG; PSMD8; PSMB8; PSMB3; NFE2L2; PSMB9; PSMB7; F12; PSMC1; FGFR3; FLT3; PSMD6; PSMC4; NFKB1; E2F1; PRSS2; PSME2P2; CCND1; PSMD13; PSMF1; CAPN1; DDIT3; FRA6F; PSME3; F2; PSMD10P1; PSMA8; PSMD5; BCL2; PSMD4P1; PSMC3IP; PRSS3; PSMD10; TP53; PRB2; PSMD10P3; CTSB; PIK3CG; PSMA3; PIPSL; PSMD10P2; GATA2; CTSL; PRSS1; SEM1; PLAT; XIAP; PSMD3,2024-07-25,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,384.2450000000001,0.3605999999999987,4,6,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,<INDICATION=Mantle Cell Lymphoma (MCL); Multiple Myeloma (MM)> <TARGET=PSMB11; PSMB4; PSMB10; PSMC3; HSPB2; AR; BDNF; PSMC2; PSMA7; PSMD4; PSMD2; PSMD7; PSMA4; B2M; PSME2; PSMB1; PSMC5; PSMD12; PSMA6; PSMB5; PSMA2; HSPA4; PSMD1; PMAIP1; PIK3CA; PSMB2; PSME1; BCL2L2; PSMD9; PSMD14; PSMA5; PSMC1P1; PSMB6; PSMA1; ADRM1; PSME4; PSMC6; PSMD11; PLG; PSMD8; PSMB8; PSMB3; NFE2L2; PSMB9; PSMB7; F12; PSMC1; FGFR3; FLT3; PSMD6; PSMC4; NFKB1; E2F1; PRSS2; PSME2P2; CCND1; PSMD13; PSMF1; CAPN1; DDIT3; FRA6F; PSME3; F2; PSMD10P1; PSMA8; PSMD5; BCL2; PSMD4P1; PSMC3IP; PRSS3; PSMD10; TP53; PRB2; PSMD10P3; CTSB; PIK3CG; PSMA3; PIPSL; PSMD10P2; GATA2; CTSL; PRSS1; SEM1; PLAT; XIAP; PSMD3>
Bosutinib,Y,Y,N,,N,2010.0,N,DB06616,L01EA04,CHEMBL288441,"Refractory, accelerated phase Chronic myelogenous leukemia; Refractory, blast phase Chronic myelogenous leukemia; Refractory, chronic phase Chronic myelogenous leukemia",EPS15; CAMK2G; FBLN2; SRC; CYP2C19; FAU; FGR; BRCA2; ABL1; STK10; BRAF; MS4A2; ENO1P1; STK4; FAUNA@; BCR; LYN; HCK; MEGF6; ENO2; FCGRT; ERVT1; FGF1,2024-07-24,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,530.4560000000001,5.190380000000005,1,8,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,"<INDICATION=Refractory, accelerated phase Chronic myelogenous leukemia; Refractory, blast phase Chronic myelogenous leukemia; Refractory, chronic phase Chronic myelogenous leukemia> <TARGET=EPS15; CAMK2G; FBLN2; SRC; CYP2C19; FAU; FGR; BRCA2; ABL1; STK10; BRAF; MS4A2; ENO1P1; STK4; FAUNA@; BCR; LYN; HCK; MEGF6; ENO2; FCGRT; ERVT1; FGF1>"
Brigatinib,Y,Y,N,,N,2017.0,N,DB12267,L01ED04,CHEMBL3545311,Metastatic Non-Small Cell Lung Cancer,ALK; TP53; DXO; DPH1; EML4; DPEP1; FLT3; ROS1; HBEGF; EGFR; FGFR1,2024-07-24,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,584.1050000000001,5.090000000000004,2,9,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,<INDICATION=Metastatic Non-Small Cell Lung Cancer> <TARGET=ALK; TP53; DXO; DPH1; EML4; DPEP1; FLT3; ROS1; HBEGF; EGFR; FGFR1>
